0	3071	Grazing
3175	3216	Grazing
3219	5534	Grazing
5737	6200	Grazing
6218	6270	Grazing
6271	6471	Rumination
6569	6592	Grazing
6603	6607	Grazing
6611	6652	Grazing
6751	6777	Grazing
6821	6832	Grazing
6840	6847	Grazing
7013	7015	Grazing
7017	7211	Grazing
7230	7271	Rumination
7274	7324	Rumination
7570	7678	Rumination
7757	7768	Rumination
7803	7806	Rumination
8122	8359	Grazing
8367	8378	Grazing
8408	8421	Grazing
8424	8602	Grazing
8666	9422	Grazing
9610	9614	Grazing
9721	9730	Grazing
9733	9924	Grazing
9929	9983	Grazing
10061	10084	Grazing
10089	10092	Grazing
10288	10416	Grazing
10481	10490	Grazing
10502	10509	Grazing
10724	10801	Rumination
10808	10849	Rumination
10850	10851	Rumination
10852	10853	Rumination
10908	10912	Rumination
10967	11023	Rumination
11024	11086	Grazing
11087	11147	Rumination
11148	11150	Rumination
12025	12043	Rumination
12180	12206	Rumination
12232	12259	Rumination
12291	12320	Rumination
12514	12531	Rumination
12558	12588	Rumination
12670	12703	Rumination
12729	12810	Rumination
12833	12857	Rumination
12880	13132	Rumination
13181	13183	Rumination
13232	13234	Rumination
13297	13306	Rumination
13355	13367	Rumination
13374	13621	Rumination
13707	13728	Rumination
13777	13871	Grazing
13888	13920	Grazing
13941	13951	Grazing
13982	14076	Grazing
14096	14123	Rumination
14131	14176	Rumination
14187	14191	Rumination
14226	14240	Rumination
14279	14289	Rumination
14307	14680	Rumination
14728	14788	Rumination
14839	14853	Rumination
15808	15810	Rumination
15989	16288	Grazing
